,Question,Correct answer,Level,Category,Type,Skills,Answer Description
,Which of the following is NOT a geotagging tool?,D,H,Theory,Single Choice,Marketing:Digital Marketing,
,a) MetaCarta,,,,,,
,b) NewsStand's Geotagger,,,,,,
,c) YahooBOSS Geoservices,,,,,,
,d) Thomson Reuter's,,,,,,
,,,,,,,
,____ refers specifically to the use of values in some coordinate referencing system to tag a geographical location.,A,M,Theory,Single Choice,Marketing:Digital Marketing,
,a) Direct georeferencing,,,,,,
,b) Indirect georeferencing,,,,,,
,c) Geoparsing,,,,,,
,d) Geotagging,,,,,,
,,,,,,,
,"Conversion Optimisation refers to the increase in the number of
overall conversions. ",A,H,TF,Single Choice,Marketing:Digital Marketing,
,A) True,,,,,,
,b) False,,,,,,
,,,,,,,
,"_____ shows you how many people are accessing your website using a
 mobile device.",A,M,Theory,Single Choice,Marketing:Digital Marketing,
,A) Google analytics,,,,,,
,b) Google adwords,,,,,,
,c) Data analytics,,,,,,
,d) Geo tagging,,,,,,
,,,,,,,
,The three categories of mobile phones include ________.,A,H,Theory,Single Choice,Marketing:Digital Marketing,
,"A Basic, feature, smartphones",,,,,,
,"B Basic, smart, advanced phones",,,,,,
,"C Smart, feature, advanced phones",,,,,,
,"D Basic, feature, advanced phones",,,,,,
,,,,,,,
,Which of the following is not a property of CSCs?,D,M,Theory,Single Choice,Marketing:Digital Marketing,
,"a) CSCs are used in marketing and advertising
campaigns. ",,,,,,
,b) CSCs can be used to receive messages from consumers and to send messages to consumers. ,,,,,,
,"c) As consumers are so comfortable with using text messages for their communication, no
extensive education process is required to have consumers access marketing campaigns based on CSCs.",,,,,,
,d) CSCs cannot be shared by companies,,,,,,
,,,,,,,
,______ is the fastest growing social network in the world by active users.,B,E,GK,Single Choice,Marketing,
,a) Facebook,,,,,,
,b) Twitter,,,,,,
,c) Instagram,,,,,,
,d) Snapchat,,,,,,
,,,,,,,
,Twitter's fastest growing age demographic is ______ years old.,D,E,GK,Single Choice,Marketing,
,a) 20-30,,,,,,
,b) 30-45,,,,,,
,c) 45-55,,,,,,
,d) 55-64,,,,,,
,,,,,,,
,______ reaches more US adults aged 18-34 years than any cable network.,D,E,GK,Single Choice,Marketing,
,a) Facebook,,,,,,
,b) Twitter,,,,,,
,c) Instagram,,,,,,
,d) YouTube,,,,,,
,,,,,,,
,Which of the following is not true about conversion rate optimisation?,C,M,Theory,Single Choice,Marketing:Digital Marketing,
,a) It is basically the exercise of increasing sales and prospective leads from any website.,,,,,,
,b) CRO helps in attracting more clicks to your home page or website without extra expenditure.,,,,,,
,c) It cannot be done without increasing the percentage of website visitors.,,,,,,
,"d) It increases the scope to get more visitors for
added activity on the website",,,,,,
,,,,,,,
,Which of the following is not required to optimise a website's conversion rate?,D,H,Theory,Single Choice,Marketing:Digital Marketing,
,"a) Logo credibility
",,,,,,
,b) Memorable slogans ,,,,,,
,c) Benefit-oriented headlines,,,,,,
,d) None of these,,,,,,
,,,,,,,
,Which of the following is not a benefit of conversion rate optimisation?,D,M,Theory,Single Choice,Marketing:Digital Marketing,
,a) Free customers,,,,,,
,b) Financial assistance,,,,,,
,c) No scope of loss,,,,,,
,d) None of these,,,,,,
,,,,,,,
,When will the results from conversion rate optimisation begin being loss making?,D,H,Theory,Single Choice,Marketing:Digital Marketing,
,a) In 3 years,,,,,,
,b) After achieveing 50% conversion,,,,,,
,c) After the first few days,,,,,,
,d) Never,,,,,,
,,,,,,,
,A page with ____ has 50X more chance of being displayed on the top of a Google search.,B,M,Theory,Single Choice,Marketing:Digital Marketing,
,a) Pictures,,,,,,
,b) Video,,,,,,
,c) GIFs,,,,,,
,d) Banners,,,,,,
,,,,,,,
,A squeeze page is a standalone page that has no follow up action.,A,H,TF,Single Choice,Marketing:Digital Marketing,
,A) TRUE,,,,,,
,B) FALSE,,,,,,
