,Question,Correct answer,Level,Category,Type,Skills,Answer Description
, Hosting images on sub-domains,,,,,,
, All of these,,,,,,
,,,,,,,
,The process of calculating the placement of keywords in page to incrase the density is called,C,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Keyword cloaking,,,,,,
, Keyword hijacking,,,,,,
, keyword stuffing,,,,,,
, none od these,,,,,,
,,,,,,,
,Writing repaeting keywords and unrelated keywords in metatgas is called,B,H,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Meta tag hijacking,,,,,,
, meta tag stuffing,,,,,,
, meta tag cloaking,,,,,,
, None of these,,,,,,
,,,,,,,
,"If 20% is the website search engine saturation with respect to a particular search engine, then what does it mean?",B,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, 20% of websites will never be indexed,,,,,,
, 20% of the webpages of website have been indexed by the search engine,,,,,,
, only 20% of the pages are indexed by the search engine,,,,,,
, none of these,,,,,,
,,,,,,,
,The most commonly used term to describe the shuffling the positions in search engine results,A,H,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Flux,,,,,,
, Shuffling,,,,,,
, Swaying,,,,,,
, Waves,,,,,,
,,,,,,,
,"Which of the following tool will help you to identify which city in the world has the largest search for a keyword ""XYZ"" ?",A,M,GK,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Google trends,,,,,,
, Alexa,,,,,,
, Google,,,,,,
, yahoo search term suggestion tool,,,,,,
,,,,,,,
,What do you mean by the Anchor text?,C,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, text within the top or left panel of a web page,,,,,,
, main body of the text on a particular webpage,,,,,,
, visible texxt that is hyperlinked to another page,,,,,,
, None of these,,,,,,
,,,,,,,
,Which of the following is an important factor that have an impact on google page rank?,B,H,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, text used to describe the inbound link to a page of a site,,,,,,
, total number of inbound link to a page of website,,,,,,
, The number of outbound links on the page that contains the inbound link to a page of website,,,,,,
, none of these,,,,,,
,,,,,,,
,The term keyword prominence refers to ?,B,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, To the imporatnce attached to geeting the right keyword density,,,,,,
, To the fact that keywords placed in important parts of a webpage are given priority by search engine,,,,,,
, to the fact that the keywords in bold are given priority by the search engines,,,,,,
, None of these,,,,,,
,,,,,,,
,Which of the following is the term for optimization strategies that are in unknown area of reputability/ validity?,C,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Black hat techniques,,,,,,
, Green hat techniques,,,,,,
, Grey hat techniques,,,,,,
, Red hat techniques,,,,,,
,,,,,,,
,The fullform of RSD?,D,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Reeltime synonym detection,,,,,,
, Realtime symbolic detection,,,,,,
, Realtime synonym diagram,,,,,,
, Realtime synonym detection,,,,,,
,,,,,,,
,RSS is not a form of XLL,B,H,TF,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, True,,,,,,
, False,,,,,,
,,,,,,,
,"If in one ad campaign the conversions rate is low but the number of clicks are more, then without changing the network settings what can advertiser do",A,H,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Lower the bids in affected ad groups,,,,,,
, Higher the bids in ad groups,,,,,,
, Exclude the site using the site exclusion tool,,,,,,
, None of these,,,,,Marketing:Digital Marketing:SEO/SEM,
,,,,,,,
,"An advertiser has shops in multiple locations, they linked their adwords campaign to their local business center. Which will show under their advert?",B,M,Theory,Single Choice,,
, The one which has highest CPC,,,,,,
, The one closest to user,,,,,Marketing:Digital Marketing:SEO/SEM,
, Which location added first to local business center,,,,,,
, None of these,,,,,,
,,,,,,,
,"To increase the qulaity score of a low perofrming keyword, what can be done?",B,H,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Delete the keyword and add the another keyword in the campaign,,,,,,
, Modify the ad associated with that keyword to direct to a highly relevant landing page,,,,,,
, Repeat the keyword as many times as possible in the ad text,,,,,,
, none of these,,,,,Marketing:Digital Marketing:SEO/SEM,
,,,,,,,
,Which of the following is correct regarding the keyword effectiveness index(KEI) of a keyword?,C,M,Theory,Single Choice,,
, Directly proportionsl to the popularity of the keyword,,,,,,
, inversely proportional to the competition of the keyword,,,,,Marketing:Digital Marketing:SEO/SEM,
, Directlyproportional to the chances of the keyword ranking on the first page of google search results,,,,,,
, None of these,,,,,,
,,,,,,,
,Which of the following is called as illegal act of copying of a page by unauthorized parties inorder to filter of traaffic to another site?,D,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, viewjacking,,,,,,
, hijacking,,,,,,
, trafficjaking,,,,,,
, pagejacking,,,,,,
,,,,,,,
,Which offers a popular list of top most 50 searched keywords,B,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Yahoo,,,,,,
, Lycos,,,,,,
, Google,,,,,,
, Aol,,,,,,
,,,,,,,
,Which one of the serach engines or directories provides the main search results for AOL,B,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Lycos,,,,,,
,Google,,,,,,
, Yahoo,,,,,,
, DMOZ,,,,,,
,,,,,,,
,The appropraite keyword density should be between ?,C,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, 7-10 %,,,,,,
, 2-5%,,,,,,
, 3-4%,,,,,,
, 5-8%,,,,,,
,,,,,,,
,Keyword density is the number of times the keyword is used/ total word count on page - the total words in HTML on page,A,M,TF,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, True,,,,,,
, False,,,,,,
,,,,,,,
,"In the Cloaking, a SEO technique, it involves",C,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Hiding keywords within the the webpage,,,,,,
, creating multiple pages and hiding them from the website visitors,,,,,,
, offering different set of webpages to the search engines,,,,,,
, None of these,,,,,,
,,,,,,,
,Google will not give priority to themed in-bound links,B,M,TF,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, True,,,,,,
, false,,,,,,
,,,,,,,
,CPM stands for,C,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Cost per million,,,,,,
, Cost per micro,,,,,,
, cost per thousand impressions,,,,,,
, Cost per million impressions,,,,,,
,,,,,,,
,The main goal of automatic CPC bidding is to,A,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, generate as many clicks as possible within adevertisers budget,,,,,,
, achieve the target average CPC provided by the advertiser,,,,,,
, generate as many as conversions with in the advertisers budget,,,,,,
, All of these,,,,,,
,,,,,,,
,The S page is used to enable search engine bots to index the doorway pages,A,M,TF,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, true,,,,,,
, false,,,,,,
,,,,,,,
,In Seo the term 'sandbox' means,C,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, The box with paid ads that appear when you perform a search,,,,,,
, first ten serach results for a particular keyword,,,,,,
, this is where websites re kept till they get mature enough to be included in the top rankings for a particular keyword,,,,,,
, none of these,,,,,,
,,,,,,,
,________ is the instance the ad appears on the page,B,E,Theory,Single Choice,Marketing:Digital Marketing,
, Appearance,,,,,,
, Impressions,,,,,,
, Timing adgroups,,,,,,
, None of these,,,,,,
,,,,,,,
,For which of the following the google ads are eligible to appear,B,M,Theory,Single Choice,Marketing:Digital Marketing,
, pass of Google quality score,,,,,,
, After the accoiunt is activated and the campaign is setup,,,,,,
, After the activation of the account,,,,,,
, once the payment is approved and google clears your certification credits,,,,,,
,,,,,,,
,The impact of poor landing page quality on an ad group?,D,E,Theory,Single Choice,Marketing:Digital Marketing,
, The entire campaign will be paused,,,,,,
, ads will be disapproved due to the low quality score,,,,,,
, keywords will be paused,,,,,,
, keywords will have a low quality score,,,,,,
,,,,,,,
,"Considering except the ______ factor, google determines the quality score",B,M,Theory,Single Choice,Marketing:Digital Marketing,
, Click through rate,,,,,,
, Cost per click bid,,,,,,
, relevance of the ad,,,,,,
, previous keyword performance,,,,,,
,,,,,,,
,Which of the following term is not related to facebook marketing,B,E,Theory,Single Choice,Marketing:Digital Marketing,
, CPC,,,,,,
, CFR,,,,,,
, CPM,,,,,,
, CTR,,,,,,
,,,,,,,
,Which of the following parameters can you not use in facebook ads,D,E,Theory,Single Choice,Marketing:Digital Marketing,
, Age,,,,,,
, gender,,,,,,
, Interests,,,,,,
, Geo targeting,,,,,,
,,,,,,,
,Which of the following is the method of marketing by E mail wherein recepient of the message is consented to receive it is called,A,E,Theory,Single Choice,Marketing:Digital Marketing,
, Permission based email marketing,,,,,,
,Social web marketing,,,,,,
, Internet advertising,,,,,,
,Search marketing,,,,,,
,,,,,,,
,When can we apply for reinclusion in a search engines index?,C,H,Theory,Single Choice,Marketing:Digital Marketing,
, whenever you made changes to site,,,,,,
, when not happy with current ratings,,,,,,
, when you have not changed host provider and Ip address of the site,,,,,,
, After banning from the search engine for black hat practices and corrected your wrong doings,,,,,,
,,,,,,,
,The following content types Is easily crawled by search engines,D,H,Theory,Single Choice,Marketing:Digital Marketing,
, java applets,,,,,,
, Flash plugins,,,,,,
, Android,,,,,,
, XHTML,,,,,,
,,,,,,,
,Which of the following is known as defacto version of a page located on the primary URL associated with the content is known as,B,H,Theory,Single Choice,Marketing:Digital Marketing,
, Heretical version,,,,,,
, canonical version,,,,,,
, emperical version,,,,,,
, None of these,,,,,,
,,,,,,,
,Which one is not allowed in linked ins advertising?,C,M,Theory,Single Choice,Marketing:Digital Marketing,
, in banner surveys,,,,,,
, java script tags,,,,,,
, Floating ads,,,,,,
, all of these,,,,,,
,,,,,,,
,The advertising that the user doesnot see until they close their current window is called,C,E,Theory,Single Choice,Marketing:Digital Marketing,
, pop back advertising,,,,,,
, Pop on advertising,,,,,,
, Pop under advertising,,,,,,
, pop up advertising,,,,,,
,,,,,,,
,Blog roll is a term for bloggers list of links to the other blogs they read or support,B,M,TF,Single Choice,Marketing:Digital Marketing,
, False,,,,,,
, true,,,,,,
,,,,,,,
,Which one is the name for small graphic that appears in a browser's address bar,D,H,Theory,Single Choice,Marketing:Digital Marketing,
, Avatar,,,,,,
, Icon,,,,,,
, ravatar,,,,,,
, Favicon,,,,,,
,,,,,,,
,The acronym MUV stamds for,D,E,Theory,Single Choice,Marketing:Digital Marketing,
, Monthly unque version,,,,,,
,Monthluy unique visit,,,,,,
, Marketing unique version,,,,,,
, Monthly unique visitors,,,,,,
,,,,,,,
,In SEO the tag which is used for image optimization?,A,H,Theory,Single Choice,Marketing:Digital Marketing,
, alt text,,,,,,
, meta tag,,,,,,
, image text,,,,,,
, visual text,,,,,,
,,,,,,,
,In which of the following places can we place the keywords for SEO?,D,M,Theory,Single Choice,Marketing:Digital Marketing,
, page title,,,,,,
, URL,,,,,,
, meta text,,,,,,
, all of these,,,,,,
,,,,,,,
,PPC campaigns on google adwords drive more genuine traffic to the website,A,E,TF,Single Choice,Marketing:Digital Marketing,
, true,,,,,,
, false,,,,,,
,,,,,,,
,CPI in adwords stands for,C,M,Theory,Single Choice,Marketing:Digital Marketing,
, Cost per individual,,,,,,
, cost per imaage,,,,,,
, Cost per impression,,,,,,
, all of these,,,,,,
,,,,,,,
,When another website links to a page on your website then that is called,A,M,Theory,Single Choice,Marketing:Digital Marketing,
, back link,,,,,,
, forward link,,,,,,
, PPC ad,,,,,,
, link for navigation,,,,,,
,,,,,,,
,The different forms of direct marketing include,D,E,Theory,Single Choice,Marketing:Digital Marketing,
, personal selling,,,,,,
, catalog marketing,,,,,,
, email marketing,,,,,,
, all of these,,,,,,
,,,,,,,
,Companies that practice online marketing for their traditional practices are called,D,E,Theory,Single Choice,Marketing:Digital Marketing,
, Brick and mortar,,,,,,
, Click through companies,,,,,,
, Online marketing companies,,,,,,
, Click and mortar companies,,,,,,
,,,,,,,
,Which of the following can be called as a website build to engage customers for marketing outcome,D,E,Theory,Single Choice,Marketing:Digital Marketing,
, corporate website,,,,,,
, Viral website,,,,,,
, branding website,,,,,,
, marketing website,,,,,,
,,,,,,,
,Which one is the kind of online marketing initiated by customers to target customers Is called,A,M,Theory,Single Choice,Marketing:Digital Marketing,
, consumer to consumer domain,,,,,,
, busimess to consumer domain,,,,,,
, Business to business domain,,,,,,
, Consumer to business domain,,,,,,
,,,,,,,
,When the companies that buy and sell only on the internet then they are called,B,E,Theory,Single Choice,Marketing:Digital Marketing,
, click and mortar companies,,,,,,
, click only companies,,,,,,
, direct companies,,,,,,
, brick and mortar companies,,,,,,
